down,timedelta,up
16,-24610,32
8,-24489,70
32,-25410,86
190,-25672,69
84,-25464,66
73,-25496,76
89,-25743,66
70,-25439,80
72,-25032,84
78,-24472,72
32,-24526,16
190,-24703,71
69,-24279,16
68,-23992,32
72,-24190,86
84,-24071,74
71,-23992,80
32,-23856,8
66,-23327,219
75,-23177,70
90,-23183,82
80,-23238,69
68,-23575,16
32,-27032,13
86,-26929,8
74,-26209,32
86,-26176,191
72,-26129,70
69,-26081,86
78,-25913,72
73,-25929,70
32,-26856,76
69,-26570,87
76,-26296,70
74,-26161,75
219,-26279,71
32,-26345,32
67,-26304,84
32,-26881,66
83,-26922,89
87,-27153,84
81,-27617,72
74,-27681,66
188,-27754,73
16,-27713,67
32,-27705,70
191,-27624,72
70,-27472,32
82,-27415,84
67,-27535,84
68,-27576,73
74,-27568,81
72,-27368,84
78,-27422,89
84,-27454,77
71,-27492,75
74,-27655,70
72,-27639,76
71,-26452,32
84,-26432,66
89,-26430,75
76,-26542,66
16,-26470,88
32,-28127,84
66,-28143,71
89,-28224,67
74,-28121,84
81,-28169,188
70,-28363,74
72,-28447,32
32,-28504,86
68,-28432,84
32,-28830,88
72,-29330,32
71,-29430,16
84,-29672,191
89,-29496,8
76,-28559,32
16,-28167,190
32,-28481,84
69,-28530,73
82,-28312,89
84,-28487,70
72,-28494,72
32,-28577,78
80,-28546,32
84,-28480,190
72,-28344,69
84,-28281,68
88,-28193,72
32,-29319,84
90,-29328,71
67,-29584,32
75,-29631,66
66,-29688,75
68,-29753,90
70,-29850,80
72,-29816,68
71,-25680,32
84,-25800,86
72,-25664,74
84,-25542,86
71,-25382,72
32,-26128,69
219,-26174,78
70,-26079,73
82,-26144,32
76,-26438,69
74,-26359,76
75,-26302,74
32,-26271,219
70,-26134,32
89,-26174,67
32,-26572,32
70,-26478,83
76,-26199,87
90,-25823,81
72,-26033,74
78,-26167,16
74,-26311,188
32,-27261,32
74,-27248,191
85,-26191,70
74,-26168,82
68,-26087,67
74,-26225,68
76,-26072,74
84,-26903,72
72,-26871,78
84,-26880,84
71,-26903,71
32,-28032,74
84,-28031,72
68,-28184,71
70,-28224,84
75,-28216,89
85,-28152,16
32,-28351,76
68,-26230,32
32,-27000,66
89,-26944,89
66,-26839,74
85,-26815,81
69,-26670,70
75,-26638,72
90,-26680,32
16,-26903,68
32,-26967,32
89,-26494,72
70,-26567,71
78,-26511,84
66,-26695,89
71,-26655,76
70,-26918,16
82,-26242,32
32,-28535,69
66,-28527,82
66,-28334,84
76,-28376,72
72,-28438,32
70,-28446,80
68,-28439,84
85,-28703,72
32,-28895,84
70,-28808,88
76,-28599,32
74,-28720,90
85,-28544,67
32,-28584,75
51,-28592,66
52,-28590,68
57,-28656,70
49,-28688,72
32,-29415,71
90,-29352,84
72,-29511,72
188,-29576,84
90,-29584,71
78,-29287,32
82,-29284,219
74,-29455,70
32,-29121,82
52,-28816,76
50,-29560,74
16,-29692,75
16,-29477,32
16,-29825,70
13,-30144,89
191,-29433,32
70,-29642,70
72,-29705,76
71,-29656,90
84,-29520,72
89,-29328,78
76,-29487,74
16,-28343,32
32,-28343,74
66,-28368,85
66,-28327,74
89,-28423,68
70,-28207,74
68,-28167,76
74,-27832,84
72,-27830,72
66,-27911,84
67,-27958,71
72,-26927,32
74,-26919,84
65,-26839,68
32,-27896,70
66,-28008,75
72,-27968,85
71,-27873,32
32,-27968,68
219,-27168,32
90,-27279,89
74,-27305,66
188,-27311,85
32,-27481,69
68,-27336,75
32,-28224,16
90,-28392,90
67,-27745,32
75,-27616,89
70,-27608,70
88,-27832,78
66,-27913,66
75,-27936,71
78,-28057,70
74,-28872,82
16,-26578,32
32,-26512,66
191,-26497,66
48,-27585,76
16,-27456,72
188,-27409,70
57,-27640,68
16,-27249,85
16,-26953,32
16,-26795,70
16,-25771,76
16,-25484,74
16,-25776,85
71,-26367,32
82,-26494,51
68,-26695,52
16,-26263,57
16,-25984,49
16,-25112,32
16,-24914,90
16,-24595,72
16,-24371,188
16,-24272,90
16,-23646,78
16,-23382,82
16,-23088,74
16,-22241,32
16,-22082,52
16,-21131,50
16,-20795,16
16,-19924,13
16,-19278,191
16,-18982,70
16,-18705,72
